Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1672081200000,2022-12-26 19:00:00,BTCUSDT,16811.3,16856.5,16807.6,16834.9,6538.187,110091097.1539,31912
1672077600000,2022-12-26 18:00:00,BTCUSDT,16827.0,16835.0,16807.1,16811.3,3600.3320000000003,60550967.3774,22721
1672074000000,2022-12-26 17:00:00,BTCUSDT,16831.5,16838.9,16818.4,16827.0,3396.775,57160187.6177,20595
1672070400000,2022-12-26 16:00:00,BTCUSDT,16801.1,16834.2,16792.0,16831.4,7525.972,126567070.6964,35793
1672066800000,2022-12-26 15:00:00,BTCUSDT,16823.6,16828.4,16781.1,16801.2,11178.126,187831879.753,51457
1672063200000,2022-12-26 14:00:00,BTCUSDT,16830.0,16836.2,16817.0,16823.6,5418.78,91177685.853,27969
1672059600000,2022-12-26 13:00:00,BTCUSDT,16849.9,16850.6,16821.0,16829.9,6656.6669999999995,112073646.886,32538
1672056000000,2022-12-26 12:00:00,BTCUSDT,16854.1,16858.9,16844.7,16849.9,3250.59,54777336.7777,20607
1672052400000,2022-12-26 11:00:00,BTCUSDT,16840.4,16863.0,16836.8,16854.0,4454.314,75071618.4831,26143
1672048800000,2022-12-26 10:00:00,BTCUSDT,16825.1,16858.7,16820.3,16840.5,5973.486999999999,100611413.2622,32493
1672045200000,2022-12-26 09:00:00,BTCUSDT,16831.5,16845.0,16824.9,16825.0,3360.4190000000003,56577862.8675,20920
1672041600000,2022-12-26 08:00:00,BTCUSDT,16836.7,16836.8,16811.0,16831.5,6491.012,109217104.0278,36169
1672038000000,2022-12-26 07:00:00,BTCUSDT,16844.5,16847.9,16830.0,16836.6,5408.982,91081446.3789,33444
1672034400000,2022-12-26 06:00:00,BTCUSDT,16843.6,16858.9,16840.0,16844.5,3745.692,63117848.7524,25139
1672030800000,2022-12-26 05:00:00,BTCUSDT,16869.6,16879.5,16843.5,16843.5,5782.129,97478488.4417,33131
1672027200000,2022-12-26 04:00:00,BTCUSDT,16887.2,16919.8,16856.6,16869.5,9802.184000000001,165525088.1422,56520
1672023600000,2022-12-26 03:00:00,BTCUSDT,16881.2,16889.0,16863.7,16887.1,4990.8679999999995,84231906.6665,33934
1672020000000,2022-12-26 02:00:00,BTCUSDT,16845.6,16892.0,16845.6,16881.2,11460.563,193360974.1425,60603
1672016400000,2022-12-26 01:00:00,BTCUSDT,16822.2,16879.0,16819.7,16845.5,8188.776999999999,137925399.5476,42762
1672012800000,2022-12-26 00:00:00,BTCUSDT,16824.5,16829.9,16813.2,16822.1,3980.697,66962977.7155,25022
1672009200000,2022-12-25 23:00:00,BTCUSDT,16813.9,16832.0,16806.1,16824.4,3935.4759999999997,66191707.987,25479
1672005600000,2022-12-25 22:00:00,BTCUSDT,16823.8,16836.0,16800.4,16814.0,4883.579000000001,82136789.0608,32832
1672002000000,2022-12-25 21:00:00,BTCUSDT,16760.0,16840.2,16756.0,16823.9,10949.243999999999,183992388.8012,54849
1671998400000,2022-12-25 20:00:00,BTCUSDT,16786.6,16786.7,16746.0,16760.1,5051.78,84689737.0378,31139
1671994800000,2022-12-25 19:00:00,BTCUSDT,16771.3,16786.8,16723.6,16786.7,14718.412,246529145.783,78219
1671991200000,2022-12-25 18:00:00,BTCUSDT,16786.8,16794.6,16765.3,16771.4,3475.998,58338265.1275,23336
1671987600000,2022-12-25 17:00:00,BTCUSDT,16805.9,16811.0,16783.5,16786.8,3037.905,51029740.3269,22767
1671984000000,2022-12-25 16:00:00,BTCUSDT,16784.2,16811.3,16763.7,16805.8,7947.04,133417258.0848,45011
